"Comment","Designator","Footprint","LCSC Part Number"
"1k","R1102 R1302 R1502 R202 R502 R702 R902","0402","C11702"
"1n","C1102 C1103 C1104 C1302 C1303 C1304 C1502 C1503 C1504 C202 C203 C204 C502 C503 C504 C702 C703 C704 C902 C903 C904","0402","C1523"
"100n","C101 C102 C103 C104 C105 C106 C107 C108 C109 C1101 C1301 C1501 C201 C501 C701 C901","0402","C1525"
"USB-C","J101","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"4093","U101 U102 U103 U104 U1101 U1301 U1501 U201 U501 U701 U901","SOIC-14_3.9x8.7mm_P1.27mm","C194332"
"White","D10001 D10101 D10201 D10301 D1701 D1801 D1901 D2001 D2101 D2201 D2301 D2401 D2501 D2601 D2701 D2801 D2901 D3001 D3201 D3301 D3401 D3501 D3601 D3701 D3801 D3901 D4001 D401 D4301 D4501 D4601 D4701 D4801 D4901 D5001 D5101 D5201 D5301 D5501 D5601 D5701 D5801 D5901 D6101 D6201 D6301 D6401 D6501 D6701 D6801 D6901 D7001 D7101 D7401 D7501 D7601 D7701 D7801 D8001 D8101 D9801 D9901","LED_0603_1608Metric_no_silk","C2290"
"220","R10002 R10102 R10202 R10302 R1702 R1802 R1902 R2002 R2102 R2202 R2302 R2402 R2502 R2602 R2702 R2802 R2902 R3002 R3202 R3302 R3402 R3502 R3602 R3702 R3802 R3902 R4002 R402 R4302 R4502 R4602 R4702 R4802 R4902 R5002 R5102 R5202 R5302 R5502 R5602 R5702 R5802 R5902 R6102 R6202 R6302 R6402 R6502 R6702 R6802 R6902 R7002 R7102 R7402 R7502 R7602 R7702 R7802 R8002 R8102 R9802 R9902","0402","C25091"
"100k","R10001 R10101 R10201 R10301 R1701 R1801 R1901 R2001 R2101 R2201 R2301 R2401 R2501 R2601 R2701 R2801 R2901 R3001 R3201 R3301 R3401 R3501 R3601 R3701 R3801 R3901 R4001 R401 R4301 R4501 R4601 R4701 R4801 R4901 R5001 R5101 R5201 R5301 R5501 R5601 R5701 R5801 R5901 R6101 R6201 R6301 R6401 R6501 R6701 R6801 R6901 R7001 R7101 R7401 R7501 R7601 R7701 R7801 R8001 R8101 R9801 R9901","0402","C25741"
"10k","R1103 R1104 R1303 R1304 R1503 R1504 R203 R204 R503 R504 R703 R704 R903 R904","0402","C25744"
"5.1k","R101 R102","0402","C25905"
"1M","R1101 R1301 R1501 R201 R501 R701 R901","0402","C26083"
"Push","SW1001 SW1201 SW1401 SW1601 SW301 SW601 SW801","jlc_pushbutton","C318884"
"1u","C10001 C10101 C10201 C10301 C1701 C1801 C1901 C2001 C2101 C2201 C2301 C2401 C2501 C2601 C2701 C2801 C2901 C3001 C3201 C3301 C3401 C3501 C3601 C3701 C3801 C3901 C4001 C401 C4301 C4501 C4601 C4701 C4801 C4901 C5001 C5101 C5201 C5301 C5501 C5601 C5701 C5801 C5901 C6101 C6201 C6301 C6401 C6501 C6701 C6801 C6901 C7001 C7101 C7401 C7501 C7601 C7701 C7801 C8001 C8101 C9801 C9901","0402","C52923"
"2N7002","Q10001 Q10101 Q10201 Q10301 Q1701 Q1801 Q1901 Q2001 Q2101 Q2201 Q2301 Q2401 Q2501 Q2601 Q2701 Q2801 Q2901 Q3001 Q3201 Q3301 Q3401 Q3501 Q3601 Q3701 Q3801 Q3901 Q4001 Q401 Q4301 Q4501 Q4601 Q4701 Q4801 Q4901 Q5001 Q5101 Q5201 Q5301 Q5501 Q5601 Q5701 Q5801 Q5901 Q6101 Q6201 Q6301 Q6401 Q6501 Q6701 Q6801 Q6901 Q7001 Q7101 Q7401 Q7501 Q7601 Q7701 Q7801 Q8001 Q8101 Q9801 Q9901","SOT-23","C8545"
