"Designator","Mid X","Mid Y","Layer","Rotation"
"D60","137.160mm","-81.280mm","top","0.0"
"D59","132.080mm","-81.280mm","top","0.0"
"D58","127.000mm","-81.280mm","top","0.0"
"D57","121.920mm","-81.280mm","top","0.0"
"D56","116.840mm","-81.280mm","top","0.0"
"D55","137.160mm","-71.120mm","top","0.0"
"D54","132.080mm","-71.120mm","top","0.0"
"D53","127.000mm","-71.120mm","top","0.0"
"D52","121.920mm","-71.120mm","top","0.0"
"D51","116.840mm","-71.120mm","top","0.0"
"D50","137.160mm","-60.960mm","top","0.0"
"D49","132.080mm","-60.960mm","top","0.0"
"D48","127.000mm","-60.960mm","top","0.0"
"D47","121.920mm","-60.960mm","top","0.0"
"D46","116.840mm","-60.960mm","top","0.0"
"D45","137.160mm","-50.800mm","top","0.0"
"D44","132.080mm","-50.800mm","top","0.0"
"D43","127.000mm","-50.800mm","top","0.0"
"D42","121.920mm","-50.800mm","top","0.0"
"D41","116.840mm","-50.800mm","top","0.0"
"D40","137.160mm","-101.600mm","top","0.0"
"D39","132.080mm","-101.600mm","top","0.0"
"D38","127.000mm","-101.600mm","top","0.0"
"D37","121.920mm","-101.600mm","top","0.0"
"D36","116.840mm","-101.600mm","top","0.0"
"D35","137.160mm","-91.440mm","top","0.0"
"D34","132.080mm","-91.440mm","top","0.0"
"D33","127.000mm","-91.440mm","top","0.0"
"D32","121.920mm","-91.440mm","top","0.0"
"D31","116.840mm","-91.440mm","top","0.0"
"D30","137.160mm","-35.560mm","top","0.0"
"D29","132.080mm","-35.560mm","top","0.0"
"D28","127.000mm","-35.560mm","top","0.0"
"D27","121.920mm","-35.560mm","top","0.0"
"D26","116.840mm","-35.560mm","top","0.0"
"D25","261.620mm","-66.040mm","top","0.0"
"D24","256.540mm","-66.040mm","top","0.0"
"D23","251.460mm","-66.040mm","top","0.0"
"D22","246.380mm","-66.040mm","top","0.0"
"D21","241.300mm","-66.040mm","top","0.0"
"D20","190.500mm","-50.800mm","top","0.0"
"D19","185.420mm","-50.800mm","top","0.0"
"D18","177.800mm","-38.100mm","top","-45.0"
"D17","172.720mm","-35.560mm","top","0.0"
"D16","167.640mm","-35.560mm","top","0.0"
"D15","190.500mm","-71.120mm","top","0.0"
"D14","185.420mm","-71.120mm","top","0.0"
"D13","177.800mm","-73.660mm","top","45.0"
"D12","172.720mm","-76.200mm","top","0.0"
"D11","167.640mm","-76.200mm","top","0.0"
"D10","190.500mm","-60.960mm","top","0.0"
"D9","185.420mm","-60.960mm","top","0.0"
"D8","177.800mm","-58.420mm","top","-45.0"
"D7","172.720mm","-55.880mm","top","0.0"
"D6","167.640mm","-55.880mm","top","0.0"
"D5","190.220mm","-81.280mm","top","0.0"
"D4","185.141mm","-81.280mm","top","0.0"
"D3","177.520mm","-93.980mm","top","45.0"
"D2","172.440mm","-96.520mm","top","0.0"
"D1","167.361mm","-96.520mm","top","0.0"
"R15","89.121mm","-98.044mm","top","180.0"
"R56","69.815mm","-104.902mm","top","180.0"
"C19","65.243mm","-108.966mm","top","0.0"
"R30","89.119mm","-71.120mm","top","180.0"
"Q11","68.799mm","-72.136mm","top","180.0"
"SW1","109.220mm","-35.560mm","top","180.0"
"J1","46.415mm","-67.840mm","top","90.0"
"R27","89.119mm","-74.168mm","top","180.0"
"R8","65.243mm","-107.442mm","top","180.0"
"R64","69.817mm","-43.688mm","top","180.0"
"C12","79.248mm","-104.140mm","top","180.0"
"U4","59.651mm","-116.844mm","top","270.0"
"R77","69.813mm","-66.040mm","top","180.0"
"R49","67.353mm","-92.964mm","top","0.0"
"R62","69.817mm","-45.720mm","top","180.0"
"R46","69.815mm","-32.004mm","top","180.0"
"C9","64.516mm","-77.498mm","top","-90.0"
"R9","65.245mm","-48.260mm","top","180.0"
"C18","65.322mm","-97.028mm","top","0.0"
"Q3","88.103mm","-77.724mm","top","180.0"
"C22","65.243mm","-73.152mm","top","0.0"
"R50","69.894mm","-92.964mm","top","180.0"
"R61","67.277mm","-45.720mm","top","0.0"
"R24","89.119mm","-47.498mm","top","180.0"
"R2","88.900mm","-62.992mm","top","180.0"
"R5","52.070mm","-67.945mm","top","90.0"
"R80","69.847mm","-81.026mm","top","180.0"
"C14","64.516mm","-113.284mm","top","-90.0"
"R54","69.894mm","-88.900mm","top","180.0"
"R6","65.243mm","-36.576mm","top","180.0"
"R1","88.900mm","-61.976mm","top","0.0"
"R78","69.815mm","-65.024mm","top","180.0"
"C5","64.516mm","-53.848mm","top","-90.0"
"C16","79.375mm","-80.264mm","top","180.0"
"R28","89.119mm","-73.152mm","top","180.0"
"R74","69.815mm","-69.088mm","top","180.0"
"R58","69.815mm","-102.870mm","top","180.0"
"R84","69.847mm","-76.962mm","top","180.0"
"R45","69.815mm","-33.020mm","top","180.0"
"R57","69.815mm","-103.886mm","top","180.0"
"Q12","68.832mm","-84.074mm","top","180.0"
"R20","89.119mm","-51.562mm","top","180.0"
"C17","65.243mm","-38.100mm","top","0.0"
"R67","67.275mm","-57.404mm","top","0.0"
"C8","79.375mm","-55.880mm","top","180.0"
"R51","69.894mm","-91.948mm","top","180.0"
"Q1","88.103mm","-101.600mm","top","180.0"
"C21","65.243mm","-61.468mm","top","0.0"
"R42","68.208mm","-112.846mm","top","180.0"
"R4","52.070mm","-64.135mm","top","-90.0"
"SW3","109.220mm","-101.600mm","top","180.0"
"U9","59.655mm","-57.404mm","top","270.0"
"R41","68.208mm","-113.862mm","top","180.0"
"R39","68.208mm","-115.894mm","top","180.0"
"R40","68.208mm","-114.878mm","top","180.0"
"C11","79.502mm","-45.212mm","top","180.0"
"C10","64.516mm","-89.408mm","top","-90.0"
"SW6","109.220mm","-71.120mm","top","180.0"
"R11","65.243mm","-71.628mm","top","180.0"
"U3","79.467mm","-98.806mm","top","270.0"
"R72","69.815mm","-53.340mm","top","180.0"
"R65","69.815mm","-42.672mm","top","180.0"
"R68","69.815mm","-57.404mm","top","180.0"
"R82","69.847mm","-78.994mm","top","180.0"
"C23","65.275mm","-85.090mm","top","0.0"
"C20","65.245mm","-49.784mm","top","0.0"
"SW2","109.220mm","-91.440mm","top","180.0"
"Q6","68.799mm","-37.084mm","top","180.0"
"R59","69.813mm","-101.854mm","top","180.0"
"Q9","68.801mm","-48.768mm","top","180.0"
"U10","59.655mm","-69.088mm","top","270.0"
"R60","69.815mm","-100.838mm","top","180.0"
"R76","69.815mm","-67.056mm","top","180.0"
"R7","65.322mm","-95.504mm","top","180.0"
"C4","88.900mm","-60.960mm","top","0.0"
"R19","87.087mm","-51.562mm","top","0.0"
"R52","69.894mm","-90.932mm","top","180.0"
"R83","69.846mm","-77.978mm","top","180.0"
"R55","67.275mm","-104.902mm","top","0.0"
"R18","89.117mm","-94.996mm","top","180.0"
"SW7","109.220mm","-81.280mm","top","180.0"
"SW5","109.220mm","-60.960mm","top","180.0"
"R33","89.121mm","-27.432mm","top","180.0"
"R48","69.815mm","-29.972mm","top","180.0"
"R73","67.275mm","-69.088mm","top","0.0"
"R37","66.176mm","-116.910mm","top","0.0"
"R44","69.815mm","-34.036mm","top","180.0"
"Q5","67.192mm","-119.450mm","top","180.0"
"R34","89.119mm","-26.416mm","top","180.0"
"R47","69.813mm","-30.988mm","top","180.0"
"U8","59.657mm","-45.720mm","top","270.0"
"C13","64.516mm","-101.346mm","top","-90.0"
"SW4","109.220mm","-50.800mm","top","180.0"
"R31","87.087mm","-28.448mm","top","0.0"
"R12","65.275mm","-83.566mm","top","180.0"
"R69","69.815mm","-56.388mm","top","180.0"
"R63","69.817mm","-44.704mm","top","180.0"
"R53","69.891mm","-89.916mm","top","180.0"
"C15","52.705mm","-66.040mm","top","180.0"
"U1","79.402mm","-50.546mm","top","270.0"
"R14","89.121mm","-99.060mm","top","180.0"
"R38","68.208mm","-116.910mm","top","180.0"
"R32","89.121mm","-28.448mm","top","180.0"
"C2","64.516mm","-42.164mm","top","-90.0"
"C7","79.502mm","-69.596mm","top","180.0"
"Q10","68.799mm","-60.452mm","top","180.0"
"R81","69.847mm","-80.010mm","top","180.0"
"R17","89.119mm","-96.012mm","top","180.0"
"R13","87.085mm","-99.060mm","top","0.0"
"U7","59.655mm","-104.902mm","top","270.0"
"U11","59.688mm","-81.026mm","top","270.0"
"Q7","68.877mm","-96.012mm","top","180.0"
"R36","89.117mm","-24.384mm","top","180.0"
"Q8","68.799mm","-107.950mm","top","180.0"
"R16","89.119mm","-97.028mm","top","180.0"
"R66","69.817mm","-41.656mm","top","180.0"
"C6","64.516mm","-65.504mm","top","-90.0"
"U2","79.467mm","-74.930mm","top","270.0"
"R29","89.119mm","-72.136mm","top","180.0"
"C1","64.516mm","-30.480mm","top","-90.0"
"R35","89.119mm","-25.400mm","top","180.0"
"Q2","88.103mm","-54.102mm","top","180.0"
"R21","89.119mm","-50.546mm","top","180.0"
